FK_ID_ALUNO,SITUACAO_CURSO,SITUACAO_FINANCEIRA,,,,,,,,
153,FORMADO,OK,(,153,",",'FORMADO',",",'OK',),","
154,CURSANDO,DEVEDOR,(,154,",",'CURSANDO',",",'DEVEDOR',),","
155,FORMADO,OK,(,155,",",'FORMADO',",",'OK',),","
156,LISTA DE ESPERA,OK,(,156,",",'LISTA DE ESPERA',",",'OK',),","
157,FORMADO,OK,(,157,",",'FORMADO',",",'OK',),","
158,FORMADO,OK,(,158,",",'FORMADO',",",'OK',),","
159,FORMADO,OK,(,159,",",'FORMADO',",",'OK',),","
160,CURSANDO,DEVEDOR,(,160,",",'CURSANDO',",",'DEVEDOR',),","
161,FORMADO,OK,(,161,",",'FORMADO',",",'OK',),","
162,FORMADO,OK,(,162,",",'FORMADO',",",'OK',),","
163,CURSANDO,OK,(,163,",",'CURSANDO',",",'OK',),","
164,LISTA DE ESPERA,OK,(,164,",",'LISTA DE ESPERA',",",'OK',),","
165,FORMADO,DEVEDOR,(,165,",",'FORMADO',",",'DEVEDOR',),","
166,LISTA DE ESPERA,OK,(,166,",",'LISTA DE ESPERA',",",'OK',),","
167,LISTA DE ESPERA,OK,(,167,",",'LISTA DE ESPERA',",",'OK',),","
168,FORMADO,OK,(,168,",",'FORMADO',",",'OK',),","
169,CURSANDO,OK,(,169,",",'CURSANDO',",",'OK',),","
170,FORMADO,OK,(,170,",",'FORMADO',",",'OK',),","
171,LISTA DE ESPERA,DEVEDOR,(,171,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
172,FORMADO,OK,(,172,",",'FORMADO',",",'OK',),","
173,CURSANDO,OK,(,173,",",'CURSANDO',",",'OK',),","
174,FORMADO,OK,(,174,",",'FORMADO',",",'OK',),","
175,FORMADO,OK,(,175,",",'FORMADO',",",'OK',),","
176,FORMADO,OK,(,176,",",'FORMADO',",",'OK',),","
177,CURSANDO,OK,(,177,",",'CURSANDO',",",'OK',),","
178,CURSANDO,DEVEDOR,(,178,",",'CURSANDO',",",'DEVEDOR',),","
179,CURSANDO,OK,(,179,",",'CURSANDO',",",'OK',),","
180,FORMADO,DEVEDOR,(,180,",",'FORMADO',",",'DEVEDOR',),","
181,CURSANDO,OK,(,181,",",'CURSANDO',",",'OK',),","
182,CURSANDO,OK,(,182,",",'CURSANDO',",",'OK',),","
183,LISTA DE ESPERA,OK,(,183,",",'LISTA DE ESPERA',",",'OK',),","
184,CURSANDO,OK,(,184,",",'CURSANDO',",",'OK',),","
185,LISTA DE ESPERA,OK,(,185,",",'LISTA DE ESPERA',",",'OK',),","
186,LISTA DE ESPERA,DEVEDOR,(,186,",",'LISTA DE ESPERA',",",'DEVEDOR',),","
187,LISTA DE ESPERA,OK,(,187,",",'LISTA DE ESPERA',",",'OK',),","
188,FORMADO,OK,(,188,",",'FORMADO',",",'OK',),","
189,FORMADO,OK,(,189,",",'FORMADO',",",'OK',),","
190,LISTA DE ESPERA,OK,(,190,",",'LISTA DE ESPERA',",",'OK',),","
191,LISTA DE ESPERA,OK,(,191,",",'LISTA DE ESPERA',",",'OK',),","
192,CURSANDO,DEVEDOR,(,192,",",'CURSANDO',",",'DEVEDOR',),","
193,FORMADO,OK,(,193,",",'FORMADO',",",'OK',),","
194,LISTA DE ESPERA,OK,(,194,",",'LISTA DE ESPERA',",",'OK',),","
195,CURSANDO,OK,(,195,",",'CURSANDO',",",'OK',),","
196,FORMADO,OK,(,196,",",'FORMADO',",",'OK',),","
197,FORMADO,DEVEDOR,(,197,",",'FORMADO',",",'DEVEDOR',),","
198,CURSANDO,OK,(,198,",",'CURSANDO',",",'OK',),","
199,FORMADO,OK,(,199,",",'FORMADO',",",'OK',),","
200,LISTA DE ESPERA,OK,(,200,",",'LISTA DE ESPERA',",",'OK',),","
